name	address	postcode	tel	website	latitude	longitude
American Box	736 Mission St	94103	(415) 474-3474	http://www.thecjm.org	37.78568	-122.403184
Aroma Coffee House	4675 Mission St	94112	(415) 333-6898		37.723519	-122.435673
Alamo Square Seafood Grill	803 Fillmore St	94117	(415) 440-2828	http://alamosquareseafoodgrill.com	37.776844	-122.431722
Alioto's Waterside Cafe	2829 Taylor St	94133	(415) 359-1200	http://www.aliotoswatersidecafe.com	37.808745	-122.415915
All You Knead	1466 Haight St	94117	(415) 552-4550		37.770141	-122.446432
Auntie Anne's	845 Market St	94103	(415) 371-1098	http://www.auntieannes.com	37.784392	-122.406367
Allstar Donuts	901 Clement St	94118	(415) 221-9838		37.782613	-122.468859
Axis Cafe	1201 8th St	94107	(415) 437-2947	http://www.axis-cafe.com	37.766631	-122.399373
Absinthe Private Dining	388 Hayes St	94102	(415) 551-1453	http://www.absinthe.com/privatedining.html	37.776856	-122.422659
Andalu	3198 16th St	94103	(415) 621-2211	http://www.andalusf.com	37.764896	-122.423893
Aunt Fannys Hot Pretzels	39 Pier	94133	(415) 986-0706		37.808859	-122.409964
Aroma Tea Shop	302 6th Ave	94118	(415) 668-3788	http://www.aromateashop.com	37.782813	-122.46438
Alfred's Steakhouse	659 Merchant St	94111	(415) 781-7058	http://www.alfredssteakhouse.com	37.794853	-122.404301
Amasia Hide's Sushi Bar	149 Noe St	94114	(415) 861-7000	http://www.amasiahidesushi.com	37.766735	-122.433179
Aato	3910 Lombard St	94123	(415) 292-2368	http://www.aatosf.com	37.798475	-122.447293
A1 Ocean Cafe	380 Bush St	94104	(415) 398-3322		37.790877	-122.403747
A K Meats	2346 Clement St	94121	(415) 933-6328	http://www.aksubs.net	37.782134	-122.48449
Angelina's Cafe and Catering	6000 California St	94121	(415) 221-7835	http://www.angelinascatering.com	37.784117	-122.481915
Anh Hong Restaurnt	808 Geary St	94109	(415) 885-5180	http://www.anhhong.com	37.786371	-122.416694
Anna's Teriyaki	83 9th St	94103	(415) 864-3780		37.776561	-122.415009
Atmosphere 3	447 Broadway	94133	(415) 788-4623	http://www.a3atmosphere.com	37.797868	-122.404743
All Star Tamales	United Nations Plz	94102		http://allstartamales.com	37.780298	-122.413744
Aimee, Andrew and Company	2238 Polk St	94109	(415) 447-4094		37.79747	-122.422044
Al Fanous	3170 16th St	94103	(415) 621-1539	http://alfanoosesf.com	37.76482	-122.423465
Alumni Association of San Francisco State University	1600 Holloway Ave	94132	(415) 338-1111	http://sfstategators.com	37.72523	-122.480693
A2 Cafe	450 Irwin St	94107	(415) 863-8169		37.767404	-122.399374
Andiamo	3242 Scott St	94123	(415) 440-2600		37.799666	-122.440986
Americano	8 Mission St	94105	(415) 278-3777	http://www.americanorestaurant.com	37.793625	-122.39285
Aladdin Restaurant	1300 Polk St	94109	(415) 441-2212	http://www.aladdinbailbonds.com	37.788893	-122.42025
Apartment 24	440 Broadway	94133	(415) 989-3434	http://www.apartment24sf.com	37.798187	-122.404638
Alamo Square Cafe	711 Fillmore St	94117	(415) 447-8636		37.775968	-122.431358
Avital Food Tours	3543 18th St	94110	(415) 355-4044	http://avitaltours.com	37.761588	-122.422603
Apollo Coffee	1064 Divisadero St	94115	(415) 394-0500		37.779542	-122.438588
Annie's Hot Dogs and Pretzels	50 Tea Garden Dr	94122	(415) 861-0778	http://annieshotdogsandpretzels.liveonatt.com	37.76756	-122.460534
Aurea	905 California St	94108	(415) 989-3500	http://www.aureasf.com	37.791864	-122.409512
Amici's East Coast Pizzeria	2200 Lombard St	94123	(415) 885-4500	http://www.amicis.com	37.79974	-122.437913
A La Turca	869 Geary St	94109	(415) 345-1011	http://www.alaturcasf.com	37.786133	-122.41757
Amante	570 Green St	94133	(415) 362-4400	http://www.amantesf.com	37.799666	-122.40855
Aria Korean American Snack Bar	932 Larkin St	94109	(415) 292-6914	https://www.facebook.com/AriaKoreanAmericanSnackBar	37.786528	-122.418211
AHA Coffee	198 McAllister St	94102	(415) 552-3242	http://www.ahacoffee.com	37.780895	-122.415089
Amphawa Thai Noodle House	5020 Geary Blvd	94118	(415) 387-1299	http://www.amphawathai.com	37.780695	-122.473298
Ahi Japaness Restaurant	4828 Geary Blvd	94118	(415) 379-6250		37.780879	-122.471187
Anda Piroshki	331 Cortland Ave	94110	(415) 271-9055	http://www.andapiroshki.com	37.739273	-122.418041
Asia Sf	1269 Howard St	94103	(415) 255-2742	http://www.asiasf.com	37.775305	-122.412498
Ate	995 N Point St	94109	(415) 409-6915	http://www.atesf.com	37.805192	-122.423349
Acapulco San Francisco	3137 Mission St	94110	(415) 826-1496	http://www.acapulcosf.com	37.778517	-122.418423
Amigo Cantina	434 Lombard St	94133			37.803456	-122.408885
Annie's Hot Dogs and Pretzels	Stockton St	94108	(415) 861-0778	http://annieshotdogsandpretzels.liveonatt.com	37.786638	-122.406411
All Seas	2390 Jerrold Ave	94124	(415) 206-7327	http://www.allseaswholesale.com	37.746746	-122.40334
Amoura	845 Market St	94103	(415) 357-9611		37.78433	-122.406983
April Nine Thai Kitchen	701 Randolph St	94132	(415) 585-8058	http://www.aprilninethai.com	37.714151	-122.469062
Aroma Espresso Bar	450 Sansome St	94111	(415) 982-3101	http://www.aroma.us	37.79456	-122.401154
Aunt Charlie's Lounge	133 Turk St	94102	(415) 441-2922	http://www.auntcharlieslounge.com	37.783083	-122.411295
Acme Burgerhaus	630 Ofarrell St	94109	(415) 580-7170		37.785511	-122.415073
Appam	1261 Folsom St	94103	(415) 626-2798		37.774113	-122.410894
Audio Nightclub	316 11th St	94103	(415) 481-0556	http://www.AudioSF.com	37.771404	-122.41375
Abundant Market	2794 California St	94115	(415) 929-9204	http://www.abundantmarket.com	37.788188	-122.440317
A Tarantino and Sons Poultry and Seafood	2275 Jennings St	94124	(415) 822-3366	http://www.atarantinoandsons.com	37.725916	-122.389545
Amnesia	853 Valencia St	94110	(415) 970-0012	http://www.amnesiathebar.com	37.759213	-122.421255
Antologia Vinoteca	515 Broadway	94133	(415) 274-8423	http://www.antologiasf.com	37.797916	-122.405832
Andersen Bakery	50 Post St	94104	(415) 262-0079	http://www.andersenbakery.com	37.789035	-122.403008
Andy's Chinese Cuisine	2401 Polk St	94109	(415) 922-5526	http://www.andysrestaurantsf.com	37.79927	-122.422387
Andy's Chinese Cuisine	1358 9th Ave	94122	(415) 661-1803	http://www.andysrestaurantsf.com	37.762983	-122.466149
Acme Bread Co.	1 Ferry Building	94111	(415) 288-2978	http://www.ferrybuildingmarketplace.com/acme_bread_company.php	37.795905	-122.393497
A G Ferrari Foods	468 Castro St	94114	(415) 255-6590	http://www.agferrari.com	37.761402	-122.435141
Atami Sushi Bar and Grill	1662 Lombard St	94123	(415) 614-1958		37.80092	-122.428866
Aguila De Oro Taqueria	5245 3rd St	94124	(415) 822-0307		37.730511	-122.392129
Anthony's Cookies	1417 Valencia St	94110	(415) 655-9834	http://www.anthonyscookies.com	37.750238	-122.420462
Annar	101 4th St	94103			37.784115	-122.403565
Anzu	222 Mason St	94102	(415) 394-1100	http://www.restaurantanzu.com	37.785783	-122.409316
Asa Sushi	2365 Chestnut St	94123	(415) 345-8263	http://www.eatasasushisf.com	37.799994	-122.442293
Ann's Doughnut Coffee Shop	4488 Mission St	94112	(415) 334-1761		37.726064	-122.433854
Amigo Cantina	1434 Lombard St	94123			37.801427	-122.424798
Anchor and Hope	83 Minna St	94105	(415) 501-9100	http://www.anchorandhopesf.com	37.787883	-122.398781
Andreas Bakery	4511 Mission St	94112	(415) 374-4100		37.725974	-122.433662
AfterHourz	417 Ofarrell St	94102	(415) 447-4041	http://melatandoori.com	37.785887	-122.411727
Albona Ristorante Istriano	545 Francisco St	94133	(415) 441-1040	http://www.albonarestaurant.com	37.804404	-122.414091
Andersen Bakery	1737 Post St	94115	(415) 345-1046	http://www.andersenbakery.com	37.785418	-122.430369
Arlequin to Go	384 Hayes St	94102	(415) 626-1211	http://www.arlequincafe.com	37.77699	-122.422706
Argus Lounge	3187 Mission St	94110	(415) 824-1447	http://www.arguslounge.com	37.745858	-122.419513
Alioto's	8 Fishermans Wharf	94133	(415) 673-0183	http://www.aliotos.com	37.808956	-122.416231
Alimento	507 Columbus Ave	94133	(415) 296-9463		37.799631	-122.409497
Annabelle's Bar and Bistro	54 4th St	94103	(415) 777-1200	http://www.annabelles.net	37.784967	-122.404943
Ajatea Cafe	835 Geary St	94109	(415) 928-5888	http://www.ajatea.com	37.786125	-122.417096
Andersen Bakery	665 Market St	94105	(415) 512-8160	http://www.andersenbakery.com	37.788345	-122.402715
Alex's Other Place	4528 Mission St	94112	(415) 584-5122		37.72549	-122.434292
A G Ferrari Foods	3490 California St	94118	(415) 923-4470	http://www.agferrari.com	37.786759	-122.451605
Allstar Donuts	2095 Chestnut St	94123	(415) 441-9270		37.800561	-122.437756
Arabi	101 Spear St	94105	(415) 243-8575	http://www.pacificarabic.com	37.792423	-122.393594
Alioto F Fish Co.	440 Jefferson St	94109	(415) 673-5866	http://www.crabonline.com	37.807823	-122.419278
Andersen Bakery	235 California St	94111	(415) 249-0890	http://usa.andersenbakery.com/store.html	37.793303	-122.399318
Arbys	133 Hernandez Ave	94127	(415) 731-2801		37.744721	-122.457704
Acre Cafe	1013 Torney Ave	94129	(415) 561-2273	http://www.acregourmet.com	37.800186	-122.452075
All Natural Ben and Jerrys Vermonts Finest	101 Utah St	94103	(415) 440-1100		37.767142	-122.406677
Antojitos Salvadorenos Aminta	2578 Mission St	94110	(415) 648-4737		37.755754	-122.418918
America's Cup Sports Bar	Pier 27 29	94111	(415) 371-5500	http://www.americascup.com/sportsbar	37.804925	-122.400991
Asiana	364 Ofarrell St	94102	(415) 346-1443		37.786202	-122.410666
Asmara Restaurant	1537 Ocean Ave	94112	(415) 334-7587	http://www.asmararestaurant.com	37.724234	-122.45873
Art's Cafe	747 Irving St	94122	(415) 665-7440	http://www.artscafesf.com	37.763985	-122.465871
AMC Van Ness 14	1000 Van Ness Ave	94109	(415) 674-4630	http://www.amctheatres.com	37.785083	-122.420709
Amsterdam Cafe	937 Geary St	94109	(415) 409-1111	http://www.amsterdamcafesf.com	37.78597	-122.418788
Ali Baba's Cave	799 Valencia St	94110	(415) 863-3054	http://www.menutopia.com/GetMenu.m?vendorId=15897	37.760171	-122.421387
A A Bakery and Cafe	1068 Stockton St	94108	(415) 981-0123	http://www.dragoncitybakery.com	37.795655	-122.408149
Andytown Coffee Roasters	3655 Lawton St	94122	(415) 752-9775	http://andytownsf.com	37.756721	-122.502278
All Star Cafe	550 Market St	94104	(415) 433-0533		37.789895	-122.400765
Avedano's Meat Wagon	432 Octavia St	94102	(415) 285-6328	http://www.avedanos.com	37.775996	-122.4243
Andronico's	1200 Irving St	94122	(415) 661-3220	http://www.andronicos.com	37.764146	-122.47098
Asiento	2730 21st St	94110	(415) 829-3375	http://www.asientosf.com	37.757678	-122.409319
Alegrias Food From Spain	2018 Lombard St	94123	(415) 929-8888	http://www.alegriassf.com	37.800103	-122.434821
Allison Tapioca	5301 Mission St	94112	(415) 333-3238		37.714424	-122.442688
Al-Fanoose	531 Haight St	94117	(415) 255-7820	http://alfanoose.net	37.771991	-122.430995
Al Masri Egyptian Restaurant	4031 Balboa St	94121	(415) 876-2300	http://www.almasrisfca.com	37.775407	-122.502044
Aicha	1303 Polk St	94109	(415) 345-9947	http://www.aichasf.com	37.788868	-122.420426
Arang Restaurant	1506 Fillmore St	94115	(415) 775-9095	http://sf.koreaportal.com/english/yp/18651-San-Francisco-%EC%95%84%EB%9E%91%EC%8B%9D%EB%8B%B9	37.783428	-122.432572
Allegro Romano	1701 Jones St	94109	(415) 928-4002	http://www.allegroromano.com	37.796891	-122.415306
All Star Tamales	100 Alemany Blvd	94110	(925) 252-1097		37.735636	-122.410195
Altena Restaurant	3346 Mission St	94110	(415) 647-1980		37.74321	-122.421558
Ace's	998 Sutter St	94109	(415) 673-0644	http://www.acesbarsf.com	37.788249	-122.416718
Angkor Borei Restaurant	3471 Mission St	94110	(415) 550-8417	http://www.cambodiankitchen.com	37.741316	-122.422529
Ariana Cafe	842 Geary St	94109	(415) 240-3552		37.78624	-122.417191
Azalina's	2948 Folsom St	94110	(415) 407-2038	http://www.azalinas.com	37.750101	-122.414035
An Giang	631 Larkin St	94109	(415) 922-1707		37.778517	-122.418423
Ashoka	2048 Chestnut St	94123	(415) 567-8124		37.800957	-122.437091
Arc Cafe	1890 Bryant St	94110	(415) 437-2233		37.763139	-122.410344
Avenue Lounge	1334 Noriega St	94122	(415) 731-3757		37.754316	-122.478194
Asqew Grill	1607 Haight St	94117	(415) 701-9301	http://www.asqewgrill.com	37.769702	-122.44886
Alioto's Restaurant	2720 Taylor St	94133	(415) 673-0183		37.807572	-122.415592
Annie's Hot Dogs and Pretzels	899 Market St	94103	(415) 861-0778	http://www.annieshotdogs.com	37.787829	-122.402982
Artesano	3415 California St	94118	(415) 221-5500	http://www.artesanosf.com	37.786637	-122.450384
Ambrosia Bakery	2605 Ocean Ave	94132	(415) 334-5305	http://www.sfbakery.com	37.731623	-122.473422
Ay Caramba	3247 Mission St	94110	(415) 824-0884		37.744743	-122.420138
Andersen Bakery	525 Market St	94105	(415) 495-6600		37.790877	-122.399796
Amelie	1754 Polk St	94109	(415) 292-6916	http://www.ameliesf.com	37.793063	-122.421134
Amici's East Coast Pizzeria	2033 Union St	94123	(415) 885-4500	http://www.amicis.com	37.797321	-122.43281
Akiba	3141 Clement St	94121	(415) 692-4556	http://www.akiba-sf.com	37.781584	-122.493103
Ace Sandwich Cafe	264 14th St	94103			37.768339	-122.419285
Aliotos Fish Company	360 Jefferson St	94133	(415) 673-8300	http://www.aliotos.com	37.807969	-122.418471
Asian Box	170 Ofarrell St	94102	(415) 288-3688	http://asianboxpaloalto.com	37.786833	-122.407463
A Taste of Aloha	520 4th St	94107	(415) 495-6620		37.77926	-122.397929
Absin The Pastry	201 Ivy St	94102	(415) 551-5126	http://www.absinthe.com	37.777433	-122.421543
Asia Chinese Food	350 Bay St	94133	(415) 391-8819		37.805881	-122.41285
Aperto Restaurant	1434 18th Ave	94122	(415) 252-1625	http://apertosf.com	37.76109	-122.475703
Acre Catering	3601 Lyon St	94123	(415) 921-8603	http://exploratorium.edu	37.804076	-122.448415
Anda Piroshki	1727 Haight St	94117	(415) 821-9905	http://andapiroshki.com	37.769367	-122.451214
All Star Donuts	399 5th St	94107	(415) 882-0889		37.779237	-122.401911
Alcatraz Landing Cafe	Pier 33	94133	(415) 981-7625		37.806846	-122.405179
Acaxutla Taqueria and Restaurant	2282 Mission St	94110	(415) 626-1173		37.760576	-122.419374
Alma Restaurant Partnership	120 Alma St	94117	(415) 401-8959		37.763228	-122.449755
Acme Burgerhaus	559 Divisadero St	94117	(415) 346-3212	http://www.acmeburgerhaus.com	37.77475	-122.437799
Alioto's Waterside Cafe	7 Fishermans Wharf	94133	(415) 359-1200	http://aliotos.com/index.php/aliotos-waterside-cafe	37.809005	-122.416366
Avenue G	1570 Stockton St	94133	(415) 989-0399	http://restaurantavenueg.com	37.800168	-122.409073
ABC Bakery Cafe	2500 Noriega St	94122	(415) 681-8800	http://www.abcbakeryandcafe.com	37.753659	-122.490505
Aqua	252 California St	94111	(415) 956-9662	http://www.aqua-sf.com	37.7934	-122.399587
Auntie April's Chicken and Waffles	4618 3rd St	94124	(415) 643-4983	http://www.auntieaprils.com	37.736142	-122.390452
Anchor Oyster Bar	579 Castro St	94114	(415) 431-3990	http://www.anchoroysterbar.com	37.759707	-122.434872
Ace Wasabi's Rock N Roll Sushi	3339 Steiner St	94123	(415) 567-4903	http://www.acewasabisf.com	37.800106	-122.437889
Anderson AV Rentals	68 Gilbert St	94103	(415) 227-4400	http://www.andersonavrentals.com	37.773808	-122.403231
Allstar Donuts and Sandwich	1500 Market St	94102	(415) 252-9888	http://www.bstarbar.com	37.775267	-122.419442
Altena Taqueria	2588 Mission St	94110	(415) 641-8415		37.755713	-122.418901
Aram's Restaurant	279 30th Ave	94121	(415) 826-2307		37.784048	-122.490725
Ace Parking Management	201 Mission St	94105	(415) 495-4309	http://aceparking.com	37.791837	-122.395393
Amawele's South African Kitchen	101 Spear St	94105	(415) 536-5900	http://www.amawelessouthafricankitchen.com	37.792284	-122.392933
Amisha Indian Cuisine	1924 Irving St	94122	(415) 759-7007	http://amishaindiancuisine.com	37.763617	-122.478631
American Box	339 Taylor St	94102	(415) 474-3474	http://www.americanboxlunch.com	37.785526	-122.411259
Association-Chinese Finance	240 Hazelwood Ave	94127	(415) 333-2737		37.73204	-122.454854
Andersen Bakery	1390 Market St	94102	(415) 553-6058	http://www.andersenbakery.com	37.777053	-122.417362
ABC Bakery Cafe	650 Jackson St	94133	(415) 981-0685	http://www.abcbakeryandcafe.com	37.796225	-122.406083
